label	family	scope	C	rank_metric	rank_value	n	positives	negatives	prevalence	threshold	tp	fp	tn	fn	accuracy	balanced_accuracy	precision	recall	f1	mcc	specificity	aupr	auroc	all_negative_accuracy	all_negative_balanced_accuracy	all_negative_f1	aupr_lift_over_prevalence
trna_modifier	binary	all_trainable	0.003	aupr	0.9916246046688209	362	214	148	0.5911602209944752	0.5572217070202024	209	1	147	5	0.9834254143646409	0.9849393786309675	0.9952380952380953	0.9766355140186916	0.9858490566037735	0.9661037110478251	0.9932432432432432	0.9916246046688209	0.9913803990906795	0.4088397790055249	0.5	0.0	1.6774210602341735
trna_modifier	binary	all_trainable	0.01	aupr	0.9925061535247756	362	214	148	0.5911602209944752	0.6966759409305351	209	1	147	5	0.9834254143646409	0.9849393786309675	0.9952380952380953	0.9766355140186916	0.9858490566037735	0.9661037110478251	0.9932432432432432	0.9925061535247756	0.9925486233897448	0.4088397790055249	0.5	0.0	1.678912278392377
trna_modifier	binary	all_trainable	0.03	aupr	0.9932729763667558	362	214	148	0.5911602209944752	0.7892085450554818	209	1	147	5	0.9834254143646409	0.9849393786309675	0.9952380952380953	0.9766355140186916	0.9858490566037735	0.9661037110478251	0.9932432432432432	0.9932729763667558	0.9931485223541299	0.4088397790055249	0.5	0.0	1.6802094273119887
trna_modifier	binary	all_trainable	0.1	aupr	0.99371892187779	362	214	148	0.5911602209944752	0.8363608799168278	209	1	147	5	0.9834254143646409	0.9849393786309675	0.9952380952380953	0.9766355140186916	0.9858490566037735	0.9661037110478251	0.9932432432432432	0.99371892187779	0.993495832280879	0.4088397790055249	0.5	0.0	1.680963783737196
trna_modifier	binary	all_trainable	0.3	aupr	0.9942870220888788	362	214	148	0.5911602209944752	0.4263702503915786	212	4	144	2	0.9834254143646409	0.9818135892902249	0.9814814814814815	0.9906542056074766	0.986046511627907	0.9657027795961025	0.972972972972973	0.9942870220888788	0.9939694367264461	0.4088397790055249	0.5	0.0	1.6819247756830564
trna_modifier	binary	all_trainable	1.0	aupr	0.9948385751260242	362	214	148	0.5911602209944752	0.2747524888084444	213	5	143	1	0.9834254143646409	0.9807716595099774	0.9770642201834863	0.9953271028037384	0.9861111111111112	0.9658220276070598	0.9662162162162162	0.9948385751260242	0.9944746148017176	0.4088397790055249	0.5	0.0	1.6828577766150503
trna_modifier	binary	all_trainable	3.0	aupr	0.9949631410804048	362	214	148	0.5911602209944752	0.2985745463281627	213	5	143	1	0.9834254143646409	0.9807716595099774	0.9770642201834863	0.9953271028037384	0.9861111111111112	0.9658220276070598	0.9662162162162162	0.9949631410804048	0.99463248295024	0.4088397790055249	0.5	0.0	1.683068490986479
trna_modifier	binary	all_trainable	10.0	aupr	0.9958829026626765	362	214	148	0.5911602209944752	0.26421415979392343	213	5	143	1	0.9834254143646409	0.9807716595099774	0.9770642201834863	0.9953271028037384	0.9861111111111112	0.9658220276070598	0.9662162162162162	0.9958829026626765	0.9953902500631473	0.4088397790055249	0.5	0.0	1.6846243493639668
deaminase	mechanism	mechanism_labeled	0.003	aupr	1.0	209	1	208	0.004784688995215311	0.8252683101312086	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
deaminase	mechanism	mechanism_labeled	0.01	aupr	1.0	209	1	208	0.004784688995215311	0.8427019551418028	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
