label	label_column	family	scope	eval_split	selected_C	threshold_metric	threshold_metric_value	n	positives	negatives	prevalence	threshold	tp	fp	tn	fn	accuracy	balanced_accuracy	precision	recall	f1	mcc	specificity	aupr	auroc	all_negative_accuracy	all_negative_balanced_accuracy	all_negative_f1	aupr_lift_over_prevalence
trna_modifier	target__trna_modifier	binary	all_trainable	val	10.0	f1	0.9861111111111112	362	214	148	0.5911602209944752	0.2642141580581665	213	5	143	1	0.9834254143646409	0.9807716595099774	0.9770642201834863	0.9953271028037384	0.9861111111111112	0.9658220276070598	0.9662162162162162	0.9958829026626765	0.9953902500631473	0.4088397790055249	0.5	0.0	1.6846243493639668
trna_modifier	target__trna_modifier	binary	all_trainable	test	10.0	f1	0.9861111111111112	362	214	148	0.5911602209944752	0.2642141580581665	210	1	147	4	0.9861878453038674	0.9872758272290982	0.995260663507109	0.9813084112149533	0.9882352941176471	0.9716568264421206	0.9932432432432432	0.9904819233816048	0.9918224299065421	0.4088397790055249	0.5	0.0	1.675488113383836
deaminase	mechanism__deaminase	mechanism	mechanism_labeled	val	0.003	f1	1.0	209	1	208	0.004784688995215311	0.8252683281898499	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
deaminase	mechanism__deaminase	mechanism	mechanism_labeled	test	0.003	f1	1.0	212	2	210	0.009433962264150943	0.8252683281898499	1	2	208	1	0.9858490566037735	0.7452380952380953	0.3333333333333333	0.5	0.4	0.40142905657298517	0.9904761904761905	0.5238095238095238	0.9047619047619048	0.9905660377358491	0.5	0.0	55.523809523809526
dihydrouridine_synthase	mechanism__dihydrouridine_synthase	mechanism	mechanism_labeled	val	0.003	f1	1.0	209	1	208	0.004784688995215311	0.9502519965171814	1	0	208	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952153110047847	0.5	0.0	209.0
dihydrouridine_synthase	mechanism__dihydrouridine_synthase	mechanism	mechanism_labeled	test	0.003	f1	1.0	212	17	195	0.08018867924528301	0.9502519965171814	17	0	195	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9198113207547169	0.5	0.0	12.470588235294118
methyltransferase	mechanism__methyltransferase	mechanism	mechanism_labeled	val	10.0	f1	0.8936170212765957	209	24	185	0.11483253588516747	0.9469910860061646	21	2	183	3	0.9760765550239234	0.9320945945945946	0.9130434782608695	0.875	0.8936170212765957	0.8803997772962207	0.9891891891891892	0.9377259757176126	0.9849099099099099	0.8851674641148325	0.5	0.0	8.16603037187421
methyltransferase	mechanism__methyltransferase	mechanism	mechanism_labeled	test	10.0	f1	0.8936170212765957	212	15	197	0.07075471698113207	0.9469910860061646	10	2	195	5	0.9669811320754716	0.8282571912013537	0.8333333333333334	0.6666666666666666	0.7407407407407407	0.7284795529792549	0.9898477157360406	0.9086523515470883	0.9922165820642979	0.9292452830188679	0.5	0.0	12.842286568532183
pseudouridine_synthase	mechanism__pseudouridine_synthase	mechanism	mechanism_labeled	val	0.03	f1	1.0	209	28	181	0.1339712918660287	0.8666822910308838	28	0	181	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8660287081339713	0.5	0.0	7.464285714285714
pseudouridine_synthase	mechanism__pseudouridine_synthase	mechanism	mechanism_labeled	test	0.03	f1	1.0	212	31	181	0.14622641509433962	0.8666822910308838	30	0	181	1	0.9952830188679245	0.9838709677419355	1.0	0.967741935483871	0.9836065573770492	0.9810324521146543	1.0	0.9940577249575551	0.9987524505435751	0.8537735849056604	0.5	0.0	6.798072183580699
queuosine_pathway	mechanism__queuosine_pathway	mechanism	mechanism_labeled	val	10.0	f1	0.990990990990991	209	110	99	0.5263157894736842	0.4863612949848175	110	2	97	0	0.9904306220095693	0.9898989898989898	0.9821428571428571	1.0	0.990990990990991	0.9809697178310792	0.9797979797979798	0.9997550177095632	0.9997245179063361	0.47368421052631576	0.5	0.0	1.8995345336481702
queuosine_pathway	mechanism__queuosine_pathway	mechanism	mechanism_labeled	test	10.0	f1	0.990990990990991	212	12	200	0.05660377358490566	0.4863612949848175	12	4	196	0	0.9811320754716981	0.99	0.75	1.0	0.8571428571428571	0.8573214099741123	0.98	1.0	1.0	0.9433962264150944	0.5	0.0	17.666666666666668
t6a_pathway	mechanism__t6a_pathway	mechanism	mechanism_labeled	val	10.0	f1	0.9166666666666666	209	25	184	0.11961722488038277	0.1490994244813919	22	1	183	3	0.9808612440191388	0.9372826086956522	0.9565217391304348	0.88	0.9166666666666666	0.9068818843261958	0.9945652173913043	0.9244722516790386	0.9447826086956521	0.8803827751196173	0.5	0.0	7.728588024036762
t6a_pathway	mechanism__t6a_pathway	mechanism	mechanism_labeled	test	10.0	f1	0.9166666666666666	212	17	195	0.08018867924528301	0.1490994244813919	14	7	188	3	0.9528301886792453	0.8938159879336349	0.6666666666666666	0.8235294117647058	0.7368421052631579	0.7160424575711193	0.9641025641025641	0.8841655341834318	0.9755656108597286	0.9198113207547169	0.5	0.0	11.026064308640445
